ID,URL,Language,Country_search,Newspaper,Type_of_newspaper ,Circulation,d,m,yr,Title,ID_Event,Year_event,Location_event,Country_event,Continent,lon,lat,lon2,lat2,lon3,lat3,Species,Genus,Family,Order,Bite,Death,Figure_species,Figure_bite,Expert_arachnologist,Expert_doctor,Expert_others,Sensationalism,Taxonomic_error,Venom_error,Anatomy_error,Photo_error,Quality_check,Contributor,Notes,POS,NEG,NEU
NZ_001,https://www.odt.co.nz/news/dunedin/city-wide-reports-spiders,English,New Zealand,Otago Daily Times,Traditional newspaper,Regional,1.0,2.0,2010.0,City-wide reports of spiders,Dunedin_New Zealand_2010,2010.0,Dunedin,New Zealand,Oceania,170.5,-45.88,170.15,-43.97,170.15,-43.97,Porrhothele antipodiana,Porrhothele,Porrhothelidae,Araneae,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,yes, Christina Painting & Leilani Walker,-,0.05555555555555555,0.18518518518518517,0.7592592592592593
NZ_002,http://www.stuff.co.nz/nelson-mail/editors-picks/3601165/Big-and-scary-but-harmless,English,New Zealand,Nelson Mail (via Stuff),Traditional newspaper,Regional,20.0,4.0,2010.0,Big and scary but harmless,Nelson_New Zealand_2010,2010.0,Nelson,New Zealand,Oceania,173.28,-41.27,170.15,-43.97,170.15,-43.97,Cambridgea sp,Cambridgea,Desidae,Araneae,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,yes, Christina Painting & Leilani Walker,-,0.30158730158730157,0.14285714285714285,0.5555555555555556
NZ_002,http://www.stuff.co.nz/nelson-mail/editors-picks/3601165/Big-and-scary-but-harmless,English,New Zealand,Nelson Mail (via Stuff),Traditional newspaper,Regional,20.0,4.0,2010.0,Big and scary but harmless,Nelson_New Zealand_2010,2010.0,Nelson,New Zealand,Oceania,173.28,-41.27,170.15,-43.97,170.15,-43.97,Miturgidae,Unknown,Miturgidae,Araneae,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,,0.0,,yes, Christina Painting & Leilani Walker,-,0.30158730158730157,0.14285714285714285,0.5555555555555556
NZ_003,http://www.stuff.co.nz/national/3697571/Katipo-bites-skinny-dipping-tourist,English,New Zealand,Stuff ,Online newspaper,National,26.0,5.0,2010.0,Katipo bites skinny-dipping tourist,Dargaville_New Zealand_2010,2010.0,Dargaville,New Zealand,Oceania,173.88,-35.94,170.15,-43.97,170.15,-43.97,Latrodectus katipo,Latrodectus,Theridiidae,Araneae,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,"Expert opinion is quotes from a medical journal article, not direct interview",0.21428571428571427,0.2857142857142857,0.5
NZ_004,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10687589,English,New Zealand,NZ Herald,Traditional newspaper,National,14.0,11.0,2010.0,"Six years on, white-tail spider bites still sting",Mt Maunganui_New Zealand_2010,2010.0,Mt Maunganui,New Zealand,Oceania,176.18,-37.64,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,yes, Christina Painting & Leilani Walker,"First report in this story happened before 2010 (the main headline), but other more recent accounts reported. Man found a spider nest - not sure if this is an anotomy error?; Figure blurry",0.0,0.3611111111111111,0.6111111111111112
NZ_004,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10687589,English,New Zealand,NZ Herald,Traditional newspaper,National,14.0,11.0,2010.0,"Six years on, white-tail spider bites still sting",Mt Maunganui_New Zealand_2010,2010.0,Mt Maunganui,New Zealand,Oceania,176.18,-37.64,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,yes, Christina Painting & Leilani Walker,"First report in this story happened before 2010 (the main headline), but other more recent accounts reported. Man found a spider nest - not sure if this is an anotomy error?; Figure blurry",0.0,0.3611111111111111,0.6111111111111112
NZ_005,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10699288,English,New Zealand,NZ Herald,Traditional newspaper,National,12.0,1.0,2011.0,Puppy bitten by white-tailed spider on the mend,Auckland_New Zealand_2011,2011.0,Auckland,New Zealand,Oceania,174.77,-36.85,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,Expert is vet ,0.11764705882352941,0.35294117647058826,0.47058823529411764
NZ_006,http://www.stuff.co.nz/southland-times/news/4973897/Beware-white-tails-hitching-indoors,English,New Zealand,Stuff ,Online newspaper,National,9.0,5.0,2011.0,"Beware, white-tails hitching indoors",Alexandra_New Zealand_2011,2011.0,Alexandra,New Zealand,Oceania,169.37,-45.23,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,title says beware - is this sensationlist?,0.15384615384615385,0.26373626373626374,0.5824175824175825
NZ_007,http://www.stuff.co.nz/manawatu-standard/sport/5089888/Nurse-shapes-up-for-world-event,English,New Zealand,Manawatu Standard (via Stuff),Traditional newspaper,Regional,2.0,6.0,2011.0,Nurse shapes up for world event,Marton_New Zealand_2011,2011.0,Marton,New Zealand,Oceania,175.38,-40.07,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,Bodybuilder champion out of action due to bite ,0.2682926829268293,0.17073170731707318,0.5609756097560976
NZ_008,http://www.stuff.co.nz/national/5858893/Spider-bite-puts-victim-in-hospital,English,New Zealand,Stuff ,Online newspaper,National,27.0,10.0,2011.0,Spider bite puts victim in hospital,Timaru_New Zealand_2011,2011.0,Timaru,New Zealand,Oceania,171.17,-44.36,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,-,0.0,0.30434782608695654,0.6956521739130435
NZ_009,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10780285,English,New Zealand,NZ Herald,Traditional newspaper,National,22.0,1.0,2012.0,Suicide helper refuses to return to NZ,NA_USA_NA,,,USA,N America,,,-102.98,38.2,170.15,-43.97,Gen sp,Unknown,Unknown,Araneae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,-,0.0,0.46153846153846156,0.5
NZ_010,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10790808,English,New Zealand,NZ Herald,Traditional newspaper,National,9.0,3.0,2012.0,Ocean kayaker survives nasty katipo bite,Gisborne_New Zealand_2012,2012.0,Gisborne,New Zealand,Oceania,178.02,-38.66,170.15,-43.97,170.15,-43.97,Latrodectus katipo,Latrodectus,Theridiidae,Araneae,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,yes, Christina Painting & Leilani Walker,"Check figure - could be Steatoda? Quotes from medical journal, not direct expert interview, Is nasty in headline = sensationalism?",0.038461538461538464,0.3076923076923077,0.6153846153846154
NZ_011,https://www.odt.co.nz/news/dunedin/large-hairy-arrivals-settle,English,New Zealand,Otago Daily Times,Traditional newspaper,Regional,28.0,7.0,2012.0,"Large, hairy arrivals settle in",Dunedin_New Zealand_2012,2012.0,Dunedin,New Zealand,Oceania,170.5,-45.88,170.15,-43.97,170.15,-43.97,Grammostola pulchra,Grammostola,Theraphosidae,Araneae,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,yes, Christina Painting & Leilani Walker,Spider exhibit at museum,0.08333333333333333,0.1388888888888889,0.7777777777777778
