ID,URL,Language,Country_search,Newspaper,Type_of_newspaper ,Circulation,d,m,yr,Title,ID_Event,Year_event,Location_event,Country_event,Continent,lon,lat,lon2,lat2,lon3,lat3,Species,Genus,Family,Order,Bite,Death,Figure_species,Figure_bite,Expert_arachnologist,Expert_doctor,Expert_others,Sensationalism,Taxonomic_error,Venom_error,Anatomy_error,Photo_error,Quality_check,Contributor,Notes,POS,NEG,NEU
NZ_001,https://www.odt.co.nz/news/dunedin/city-wide-reports-spiders,English,New Zealand,Otago Daily Times,Traditional newspaper,Regional,1.0,2.0,2010.0,City-wide reports of spiders,Dunedin_New Zealand_2010,2010.0,Dunedin,New Zealand,Oceania,170.5,-45.88,170.15,-43.97,170.15,-43.97,Porrhothele antipodiana,Porrhothele,Porrhothelidae,Araneae,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,yes, Christina Painting & Leilani Walker,-,0.21052631578947367,0.2807017543859649,0.5087719298245614
NZ_002,http://www.stuff.co.nz/nelson-mail/editors-picks/3601165/Big-and-scary-but-harmless,English,New Zealand,Nelson Mail (via Stuff),Traditional newspaper,Regional,20.0,4.0,2010.0,Big and scary but harmless,Nelson_New Zealand_2010,2010.0,Nelson,New Zealand,Oceania,173.28,-41.27,170.15,-43.97,170.15,-43.97,Cambridgea sp,Cambridgea,Desidae,Araneae,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,yes, Christina Painting & Leilani Walker,-,0.484375,0.21875,0.296875
NZ_002,http://www.stuff.co.nz/nelson-mail/editors-picks/3601165/Big-and-scary-but-harmless,English,New Zealand,Nelson Mail (via Stuff),Traditional newspaper,Regional,20.0,4.0,2010.0,Big and scary but harmless,Nelson_New Zealand_2010,2010.0,Nelson,New Zealand,Oceania,173.28,-41.27,170.15,-43.97,170.15,-43.97,Miturgidae,Unknown,Miturgidae,Araneae,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,,0.0,,yes, Christina Painting & Leilani Walker,-,0.484375,0.21875,0.296875
NZ_003,http://www.stuff.co.nz/national/3697571/Katipo-bites-skinny-dipping-tourist,English,New Zealand,Stuff ,Online newspaper,National,26.0,5.0,2010.0,Katipo bites skinny-dipping tourist,Dargaville_New Zealand_2010,2010.0,Dargaville,New Zealand,Oceania,173.88,-35.94,170.15,-43.97,170.15,-43.97,Latrodectus katipo,Latrodectus,Theridiidae,Araneae,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,"Expert opinion is quotes from a medical journal article, not direct interview",0.5,0.35714285714285715,0.14285714285714285
NZ_004,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10687589,English,New Zealand,NZ Herald,Traditional newspaper,National,14.0,11.0,2010.0,"Six years on, white-tail spider bites still sting",Mt Maunganui_New Zealand_2010,2010.0,Mt Maunganui,New Zealand,Oceania,176.18,-37.64,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,yes, Christina Painting & Leilani Walker,"First report in this story happened before 2010 (the main headline), but other more recent accounts reported. Man found a spider nest - not sure if this is an anotomy error?; Figure blurry",0.1388888888888889,0.3611111111111111,0.5
NZ_004,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10687589,English,New Zealand,NZ Herald,Traditional newspaper,National,14.0,11.0,2010.0,"Six years on, white-tail spider bites still sting",Mt Maunganui_New Zealand_2010,2010.0,Mt Maunganui,New Zealand,Oceania,176.18,-37.64,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,yes, Christina Painting & Leilani Walker,"First report in this story happened before 2010 (the main headline), but other more recent accounts reported. Man found a spider nest - not sure if this is an anotomy error?; Figure blurry",0.1388888888888889,0.3611111111111111,0.5
NZ_005,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=10699288,English,New Zealand,NZ Herald,Traditional newspaper,National,12.0,1.0,2011.0,Puppy bitten by white-tailed spider on the mend,Auckland_New Zealand_2011,2011.0,Auckland,New Zealand,Oceania,174.77,-36.85,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,Expert is vet ,0.4444444444444444,0.2222222222222222,0.3333333333333333
NZ_006,http://www.stuff.co.nz/southland-times/news/4973897/Beware-white-tails-hitching-indoors,English,New Zealand,Stuff ,Online newspaper,National,9.0,5.0,2011.0,"Beware, white-tails hitching indoors",Alexandra_New Zealand_2011,2011.0,Alexandra,New Zealand,Oceania,169.37,-45.23,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,title says beware - is this sensationlist?,0.0,0.0,1.0
NZ_007,http://www.stuff.co.nz/manawatu-standard/sport/5089888/Nurse-shapes-up-for-world-event,English,New Zealand,Manawatu Standard (via Stuff),Traditional newspaper,Regional,2.0,6.0,2011.0,Nurse shapes up for world event,Marton_New Zealand_2011,2011.0,Marton,New Zealand,Oceania,175.38,-40.07,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,Bodybuilder champion out of action due to bite ,0.47560975609756095,0.24390243902439024,0.2804878048780488
NZ_008,http://www.stuff.co.nz/national/5858893/Spider-bite-puts-victim-in-hospital,English,New Zealand,Stuff ,Online newspaper,National,27.0,10.0,2011.0,Spider bite puts victim in hospital,Timaru_New Zealand_2011,2011.0,Timaru,New Zealand,Oceania,171.17,-44.36,170.15,-43.97,170.15,-43.97,Lampona sp,Lampona,Lamponidae,Araneae,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,yes, Christina Painting & Leilani Walker,-,0.13043478260869565,0.43478260869565216,0.43478260869565216
